ID,Objetivo,Pré-condições,Passos,Dados de Teste,Resultado Esperado,Técnica,Cobertura REQ,Prioridade
CT-001,Validar login com credenciais válidas,Usuário cadastrado (aluno/123456),1. Acessar /login 2. Informar username: aluno 3. Informar password: 123456 4. Clicar em Log In,username=aluno password=123456,Redirecionamento para /dashboard com resumo diário,Equivalência,REQ-001,Alta
CT-002,Validar login com credenciais inválidas,Usuário não cadastrado ou senha incorreta,1. Acessar /login 2. Informar username: inexistente 3. Informar password: errada 4. Clicar em Log In,username=inexistente password=errada,Mensagem "Invalid username or password" e permanece em /login,Equivalência,REQ-002,Alta
CT-003,Validar registro de novo usuário,Sistema com banco de dados limpo,1. Acessar /register 2. Preencher username único 3. Preencher email válido único 4. Preencher password e confirm_password 5. Clicar em Register,username=novousuario email=novo@test.com password=senha123 confirm_password=senha123,Redirecionamento para /login com mensagem de sucesso,Equivalência,REQ-003,Alta
CT-004,Validar registro com username duplicado,Usuário testuser já existe,1. Acessar /register 2. Preencher username: testuser 3. Preencher outros campos válidos 4. Clicar em Register,username=testuser email=outro@test.com password=senha123,Mensagem de erro "Please use a different username",Equivalência,REQ-004,Média
CT-005,Validar registro com email duplicado,Email test@example.com já existe,1. Acessar /register 2. Preencher email: test@example.com 3. Preencher outros campos válidos 4. Clicar em Register,username=outro email=test@example.com password=senha123,Mensagem de erro "Please use a different email address",Equivalência,REQ-004,Média
CT-006,Validar registro com senhas não coincidem,Nenhuma,1. Acessar /register 2. Preencher password: senha123 3. Preencher confirm_password: senha456 4. Clicar em Register,password=senha123 confirm_password=senha456,Mensagem de erro "Passwords must match",Equivalência,REQ-004,Média
CT-007,Validar listagem de alimentos,Alimentos cadastrados (públicos e privados),1. Fazer login 2. Acessar GET /api/food,Token de autenticação válido,Lista JSON com alimentos públicos e privados do usuário,Decisão,REQ-005,Alta
CT-008,Validar adição de entrada com quantidade válida,Usuário autenticado e alimento disponível,1. Fazer login 2. POST /api/entry com food_item_id e quantity > 0,{"food_item_id": 1 "quantity": 2.0},Status 201 e entrada adicionada ao diário,Equivalência,REQ-006,Alta
CT-009,Validar adição de entrada com quantity = 0,Usuário autenticado,1. Fazer login 2. POST /api/entry com quantity = 0,{"food_item_id": 1 "quantity": 0},Status 400 com mensagem "Quantity must be greater than 0",Limites,REQ-007,Alta
CT-010,Validar adição de entrada com quantity < 0,Usuário autenticado,1. Fazer login 2. POST /api/entry com quantity < 0,{"food_item_id": 1 "quantity": -1},Status 400 com mensagem "Quantity must be greater than 0",Limites,REQ-007,Alta
CT-011,Validar adição de entrada sem food_item_id,Usuário autenticado,1. Fazer login 2. POST /api/entry sem food_item_id,{"quantity": 1.0},Status 400 com mensagem "food_item_id is required",Decisão,REQ-007,Alta
CT-012,Validar visualização de dashboard com entradas,Usuário autenticado com entradas no diário de hoje,1. Fazer login 2. Acessar /dashboard,Token de autenticação válido,Dashboard exibe totais de calorias proteínas carboidratos e gorduras,Decisão,REQ-008,Alta
CT-013,Validar cálculo de calorias consumidas,Usuário com 2 entradas: Maçã (52 cal x 2) + Frango (165 cal x 1),1. Fazer login 2. Adicionar entradas 3. Verificar cálculo,Entradas: Maçã qty=2 Frango qty=1,Total = (52×2) + (165×1) = 269 calorias,Decisão,REQ-009,Alta
CT-014,Validar cálculo de calorias restantes,Usuário com meta 2000 cal e consumiu 500 cal,1. Fazer login 2. Verificar método get_remaining_calories(),Meta: 2000 Consumido: 500,Restantes = 2000 - 500 = 1500 calorias,Decisão,REQ-010,Alta
CT-015,Validar calorias restantes nunca negativo,Usuário com meta 1000 cal e consumiu 1500 cal,1. Fazer login 2. Verificar método get_remaining_calories(),Meta: 1000 Consumido: 1500,Restantes = 0 (não negativo),Limites,REQ-010,Alta
CT-016,Validar acesso a alimento privado de outro usuário,Usuário A criou alimento privado Usuário B tenta acessar,1. Login como Usuário B 2. GET /api/food ou POST /api/entry com food_item_id privado,Token Usuário B food_item_id privado de A,Alimento não aparece na lista ou erro 403,Decisão,REQ-011,Alta
CT-017,Validar lista vazia de alimentos,Base de dados sem alimentos,1. Resetar banco 2. Fazer login 3. GET /api/food,Base vazia,Lista JSON vazia [] ou mensagem apropriada,Limites,REQ-012,Média
CT-018,Validar dashboard com lista vazia de entradas,Usuário sem entradas no diário de hoje,1. Fazer login 2. Acessar /dashboard,Usuário sem entradas,Totais zerados: 0 calorias 0 proteínas 0 carboidratos 0 gorduras,Limites,REQ-013,Média
CT-019,Validar logout,Usuário autenticado,1. Fazer login 2. Acessar /logout,Token de autenticação válido,Redirecionamento para / e sessão encerrada,Decisão,REQ-014,Alta
CT-020,Validar proteção de rotas sem autenticação,Usuário não autenticado,1. Acessar /dashboard sem login,Sem token de autenticação,Redirecionamento para /login ou erro 401,Decisão,REQ-015,Alta
CT-030,Validar fluxo E2E completo,Base de dados limpa,1. Registrar novo usuário 2. Fazer login 3. Visualizar alimentos 4. Adicionar entrada 5. Verificar dashboard,Fluxo completo end-to-end,Todas as etapas funcionam e dados consistentes,E2E,REQ-016,Alta
CT-040,Validar usabilidade - mensagens claras,Qualquer ação no sistema,1. Executar ações (sucesso/erro) 2. Verificar mensagens,Qualquer ação,Mensagens claras visíveis e compreensíveis em até 3s,Não Funcional,REQ-017,Média
CT-041,Validar performance - tempo de resposta,Qualquer funcionalidade,1. Executar requisição 2. Medir tempo de resposta,Qualquer requisição,Resposta em menos de 2 segundos (ambiente local),Não Funcional,REQ-018,Média

